;Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
20;300-71-4605;C;Guarulhos;Member;Homem;Acessorios eletronicos;86,04;5;21,51;451,71;2/25/2019;11:24;PIX;430,2;4,761904762;21,51;4,8
21;371-85-5789;B;Mogi das Cruzes;Normal;Homem;Saude e beleza;87,98;3;13,2;277,14;03/05/2019;10:40;PIX;263,94;4,761904762;13,197;5,1
22;273-16-6619;B;Mogi das Cruzes;Normal;Homem;Casa e estilo de vida;33,2;2;3,32;69,72;3/15/2019;12:20;Cartao de Credito;66,4;4,761904762;3,32;4,4
23;636-48-8204;A;Sao Paulo;Normal;Homem;Acessorios eletronicos;34,56;5;8,64;181,44;2/17/2019;11:15;PIX;172,8;4,761904762;8,64;9,9
24;549-59-1358;A;Sao Paulo;Member;Homem;Esportes e viagens;88,63;3;13,29;279,18;03/02/2019;17:36;PIX;265,89;4,761904762;13,2945;6
25;227-03-5010;A;Sao Paulo;Member;Mulher;Casa e estilo de vida;52,59;8;21,04;441,76;3/22/2019;19:20;Cartao de Credito;420,72;4,761904762;21,036;8,5
26;649-29-6775;B;Mogi das Cruzes;Normal;Homem;Acessorios de Moda;33,52;1;1,68;35,2;02/08/2019;15:31;Dinheiro;33,52;4,761904762;1,676;6,7
27;189-17-4241;A;Sao Paulo;Normal;Mulher;Acessorios de Moda;87,67;2;8,77;184,11;03/10/2019;12:17;Cartao de Credito;175,34;4,761904762;8,767;7,7
28;145-94-9061;B;Mogi das Cruzes;Normal;Mulher;Alimentos e bebidas;88,36;5;22,09;463,89;1/25/2019;19:48;Dinheiro;441,8;4,761904762;22,09;9,6
29;848-62-7243;A;Sao Paulo;Normal;Homem;Saude e beleza;24,89;9;11,2;235,21;3/15/2019;15:36;Dinheiro;224,01;4,761904762;11,2005;7,4
30;871-79-8483;B;Mogi das Cruzes;Normal;Homem;Acessorios de Moda;94,13;5;23,53;494,18;2/25/2019;19:39;Cartao de Credito;470,65;4,761904762;23,5325;4,8
31;149-71-6266;B;Mogi das Cruzes;Member;Homem;Esportes e viagens;78,07;9;35,13;737,76;1/28/2019;12:43;Dinheiro;702,63;4,761904762;35,1315;4,5
32;640-49-2076;B;Mogi das Cruzes;Normal;Homem;Esportes e viagens;83,78;8;33,51;703,75;01/10/2019;14:49;Dinheiro;670,24;4,761904762;33,512;5,1
33;595-11-5460;A;Sao Paulo;Normal;Homem;Saude e beleza;96,58;2;9,66;202,82;3/15/2019;10:12;Cartao de Credito;193,16;4,761904762;9,658;5,1
34;183-56-6882;C;Guarulhos;Member;Mulher;Alimentos e bebidas;99,42;4;19,88;417,56;02/06/2019;10:42;PIX;397,68;4,761904762;19,884;7,5
35;232-16-2483;C;Guarulhos;Member;Mulher;Esportes e viagens;68,12;1;3,41;71,53;01/07/2019;12:28;PIX;68,12;4,761904762;3,406;6,8
36;129-29-8530;A;Sao Paulo;Member;Homem;Esportes e viagens;62,62;5;15,66;328,76;03/10/2019;19:15;PIX;313,1;4,761904762;15,655;7
37;272-65-1806;A;Sao Paulo;Normal;Mulher;Acessorios eletronicos;60,88;9;27,4;575,32;1/15/2019;17:17;PIX;547,92;4,761904762;27,396;4,7
38;333-73-7901;C;Guarulhos;Normal;Mulher;Saude e beleza;54,92;8;21,97;461,33;3/23/2019;13:24;PIX;439,36;4,761904762;21,968;7,6
39;777-82-7220;B;Mogi das Cruzes;Member;Homem;Casa e estilo de vida;30,12;8;12,05;253,01;03/03/2019;13:01;Dinheiro;240,96;4,761904762;12,048;7,7
40;280-35-5823;B;Mogi das Cruzes;Member;Mulher;Casa e estilo de vida;86,72;1;4,34;91,06;1/17/2019;18:45;PIX;86,72;4,761904762;4,336;7,9
41;554-53-8700;C;Guarulhos;Member;Homem;Casa e estilo de vida;56,11;2;5,61;117,83;02/02/2019;10:11;Dinheiro;112,22;4,761904762;5,611;6,3
42;354-25-5821;B;Mogi das Cruzes;Member;Mulher;Esportes e viagens;69,12;6;20,74;435,46;02/08/2019;13:03;Dinheiro;414,72;4,761904762;20,736;5,6
43;228-96-1411;C;Guarulhos;Member;Mulher;Alimentos e bebidas;98,7;8;39,48;829,08;03/04/2019;20:39;Dinheiro;789,6;4,761904762;39,48;7,6
44;617-15-4209;C;Guarulhos;Member;Homem;Saude e beleza;15,37;2;1,54;32,28;3/16/2019;19:47;Dinheiro;30,74;4,761904762;1,537;7,2
45;132-32-9879;B;Mogi das Cruzes;Member;Mulher;Acessorios eletronicos;93,96;4;18,79;394,63;03/09/2019;18:00;Dinheiro;375,84;4,761904762;18,792;9,5
46;370-41-7321;B;Mogi das Cruzes;Member;Homem;Saude e beleza;56,69;9;25,51;535,72;2/27/2019;17:24;Cartao de Credito;510,21;4,761904762;25,5105;8,4
47;727-46-3608;B;Mogi das Cruzes;Member;Mulher;Alimentos e bebidas;20,01;9;9;189,09;02/06/2019;15:47;PIX;180,09;4,761904762;9,0045;4,1
48;669-54-1719;B;Mogi das Cruzes;Member;Homem;Acessorios eletronicos;18,93;6;5,68;119,26;02/10/2019;12:45;Cartao de Credito;113,58;4,761904762;5,679;8,1
49;574-22-5561;C;Guarulhos;Member;Mulher;Acessorios de Moda;82,63;10;41,32;867,62;3/19/2019;17:08;PIX;826,3;4,761904762;41,315;7,9
50;326-78-5178;C;Guarulhos;Member;Homem;Alimentos e bebidas;91,4;7;31,99;671,79;02/03/2019;10:19;Dinheiro;639,8;4,761904762;31,99;9,5
51;162-48-8011;A;Sao Paulo;Member;Mulher;Alimentos e bebidas;44,59;5;11,15;234,1;02/10/2019;15:10;Dinheiro;222,95;4,761904762;11,1475;8,5
52;616-24-2851;B;Mogi das Cruzes;Member;Mulher;Acessorios de Moda;17,87;4;3,57;75,05;3/22/2019;14:42;PIX;71,48;4,761904762;3,574;6,5
53;778-71-5554;C;Guarulhos;Member;Homem;Acessorios de Moda;15,43;1;0,77;16,2;1/25/2019;15:46;Cartao de Credito;15,43;4,761904762;0,7715;6,1
54;242-55-6721;B;Mogi das Cruzes;Normal;Homem;Casa e estilo de vida;16,16;2;1,62;33,94;03/07/2019;11:49;PIX;32,32;4,761904762;1,616;6,5
55;399-46-5918;C;Guarulhos;Normal;Mulher;Acessorios eletronicos;85,98;8;34,39;722,23;2/28/2019;19:01;Dinheiro;687,84;4,761904762;34,392;8,2
56;106-35-6779;A;Sao Paulo;Member;Homem;Casa e estilo de vida;44,34;2;4,43;93,11;3/27/2019;11:26;Dinheiro;88,68;4,761904762;4,434;5,8
57;635-40-6220;A;Sao Paulo;Normal;Homem;Saude e beleza;89,6;8;35,84;752,64;02/07/2019;11:28;PIX;716,8;4,761904762;35,84;6,6
58;817-48-8732;A;Sao Paulo;Member;Mulher;Casa e estilo de vida;72,35;10;36,18;759,68;1/20/2019;15:55;Dinheiro;723,5;4,761904762;36,175;5,4
59;120-06-4233;C;Guarulhos;Normal;Homem;Acessorios eletronicos;30,61;6;9,18;192,84;03/12/2019;20:36;Dinheiro;183,66;4,761904762;9,183;9,3
60;285-68-5083;C;Guarulhos;Member;Mulher;Esportes e viagens;24,74;3;3,71;77,93;2/15/2019;17:47;Cartao de Credito;74,22;4,761904762;3,711;10
61;803-83-5989;C;Guarulhos;Normal;Homem;Casa e estilo de vida;55,73;6;16,72;351,1;2/24/2019;10:55;PIX;334,38;4,761904762;16,719;7
62;347-34-2234;B;Mogi das Cruzes;Member;Mulher;Esportes e viagens;55,07;9;24,78;520,41;02/03/2019;13:40;PIX;495,63;4,761904762;24,7815;10
63;199-75-8169;A;Sao Paulo;Member;Homem;Esportes e viagens;15,81;10;7,91;166,01;03/06/2019;12:27;Cartao de Credito;158,1;4,761904762;7,905;8,6
64;853-23-2453;B;Mogi das Cruzes;Member;Homem;Saude e beleza;75,74;4;15,15;318,11;2/14/2019;14:35;Dinheiro;302,96;4,761904762;15,148;7,6
65;877-22-3308;A;Sao Paulo;Member;Homem;Saude e beleza;15,87;10;7,94;166,64;3/13/2019;16:40;Dinheiro;158,7;4,761904762;7,935;5,8
66;838-78-4295;C;Guarulhos;Normal;Mulher;Saude e beleza;33,47;2;3,35;70,29;02/10/2019;15:43;PIX;66,94;4,761904762;3,347;6,7
67;109-28-2512;B;Mogi das Cruzes;Member;Mulher;Acessorios de Moda;97,61;6;29,28;614,94;01/07/2019;15:01;PIX;585,66;4,761904762;29,283;9,9
68;232-11-3025;A;Sao Paulo;Normal;Homem;Esportes e viagens;78,77;10;39,39;827,09;1/24/2019;10:04;Dinheiro;787,7;4,761904762;39,385;6,4
69;382-03-4532;A;Sao Paulo;Member;Mulher;Saude e beleza;18,33;1;0,92;19,25;02/02/2019;18:50;Dinheiro;18,33;4,761904762;0,9165;4,3
70;393-65-2792;C;Guarulhos;Normal;Homem;Alimentos e bebidas;89,48;10;44,74;939,54;01/06/2019;12:46;Cartao de Credito;894,8;4,761904762;44,74;9,6
71;796-12-2025;C;Guarulhos;Normal;Homem;Acessorios de Moda;62,12;10;31,06;652,26;02/11/2019;16:19;Dinheiro;621,2;4,761904762;31,06;5,9
72;510-95-6347;B;Mogi das Cruzes;Member;Mulher;Alimentos e bebidas;48,52;3;7,28;152,84;03/05/2019;18:17;PIX;145,56;4,761904762;7,278;4
73;841-35-6630;C;Guarulhos;Normal;Mulher;Acessorios eletronicos;75,91;6;22,77;478,23;03/09/2019;18:21;Dinheiro;455,46;4,761904762;22,773;8,7
74;287-21-9091;A;Sao Paulo;Normal;Homem;Casa e estilo de vida;74,67;9;33,6;705,63;1/22/2019;10:55;PIX;672,03;4,761904762;33,6015;9,4
75;732-94-0499;C;Guarulhos;Normal;Mulher;Acessorios eletronicos;41,65;10;20,83;437,33;1/13/2019;17:04;Cartao de Credito;416,5;4,761904762;20,825;5,4
76;263-10-3913;C;Guarulhos;Member;Homem;Acessorios de Moda;49,04;9;22,07;463,43;01/09/2019;14:20;Cartao de Credito;441,36;4,761904762;22,068;8,6
77;381-20-0914;A;Sao Paulo;Member;Mulher;Acessorios de Moda;20,01;9;9;189,09;01/12/2019;15:48;Cartao de Credito;180,09;4,761904762;9,0045;5,7
78;829-49-1914;C;Guarulhos;Member;Mulher;Alimentos e bebidas;78,31;10;39,16;822,26;03/05/2019;16:24;PIX;783,1;4,761904762;39,155;6,6
79;756-01-7507;C;Guarulhos;Normal;Mulher;Saude e beleza;20,38;5;5,1;107;1/22/2019;18:56;Dinheiro;101,9;4,761904762;5,095;6
80;870-72-4431;C;Guarulhos;Normal;Mulher;Saude e beleza;99,19;6;29,76;624,9;1/21/2019;14:42;Cartao de Credito;595,14;4,761904762;29,757;5,5
81;847-38-7188;B;Mogi das Cruzes;Normal;Mulher;Alimentos e bebidas;96,68;3;14,5;304,54;1/26/2019;19:56;PIX;290,04;4,761904762;14,502;6,4
82;480-63-2856;C;Guarulhos;Normal;Homem;Alimentos e bebidas;19,25;8;7,7;161,7;1/23/2019;18:37;PIX;154;4,761904762;7,7;6,6
83;787-56-0757;C;Guarulhos;Member;Mulher;Alimentos e bebidas;80,36;4;16,07;337,51;2/23/2019;18:45;Cartao de Credito;321,44;4,761904762;16,072;8,3
84;360-39-5055;C;Guarulhos;Member;Homem;Esportes e viagens;48,91;5;12,23;256,78;03/09/2019;10:17;Dinheiro;244,55;4,761904762;12,2275;6,6
85;730-50-9884;C;Guarulhos;Normal;Mulher;Esportes e viagens;83,06;7;29,07;610,49;03/05/2019;14:31;PIX;581,42;4,761904762;29,071;4
86;362-58-8315;C;Guarulhos;Normal;Homem;Acessorios de Moda;76,52;5;19,13;401,73;3/25/2019;10:23;Dinheiro;382,6;4,761904762;19,13;9,9
87;633-44-8566;A;Sao Paulo;Member;Homem;Alimentos e bebidas;49,38;7;17,28;362,94;3/27/2019;20:35;Cartao de Credito;345,66;4,761904762;17,283;7,3
88;504-35-8843;A;Sao Paulo;Normal;Homem;Esportes e viagens;42,47;1;2,12;44,59;01/02/2019;16:57;Dinheiro;42,47;4,761904762;2,1235;5,7
89;318-68-5053;B;Mogi das Cruzes;Normal;Mulher;Saude e beleza;76,99;6;23,1;485,04;2/27/2019;17:55;Dinheiro;461,94;4,761904762;23,097;6,1
90;565-80-5980;C;Guarulhos;Member;Mulher;Casa e estilo de vida;47,38;4;9,48;199;1/23/2019;10:25;Dinheiro;189,52;4,761904762;9,476;7,1
91;225-32-0908;C;Guarulhos;Normal;Mulher;Esportes e viagens;44,86;10;22,43;471,03;1/26/2019;19:54;PIX;448,6;4,761904762;22,43;8,2
92;873-51-0671;A;Sao Paulo;Member;Mulher;Esportes e viagens;21,98;7;7,69;161,55;01/10/2019;16:42;PIX;153,86;4,761904762;7,693;5,1
93;152-08-9985;B;Mogi das Cruzes;Member;Homem;Saude e beleza;64,36;9;28,96;608,2;03/12/2019;12:09;Cartao de Credito;579,24;4,761904762;28,962;8,6
94;512-91-0811;C;Guarulhos;Normal;Homem;Saude e beleza;89,75;1;4,49;94,24;02/06/2019;20:05;Cartao de Credito;89,75;4,761904762;4,4875;6,6
95;594-34-4444;A;Sao Paulo;Normal;Homem;Acessorios eletronicos;97,16;1;4,86;102,02;03/08/2019;20:38;PIX;97,16;4,761904762;4,858;7,2
96;766-85-7061;B;Mogi das Cruzes;Normal;Homem;Saude e beleza;87,87;10;43,94;922,64;3/29/2019;10:25;PIX;878,7;4,761904762;43,935;5,1
97;871-39-9221;C;Guarulhos;Normal;Mulher;Acessorios eletronicos;12,45;6;3,74;78,44;02/09/2019;13:11;Dinheiro;74,7;4,761904762;3,735;4,1
98;865-92-6136;A;Sao Paulo;Normal;Homem;Alimentos e bebidas;52,75;3;7,91;166,16;3/23/2019;10:16;PIX;158,25;4,761904762;7,9125;9,3
99;733-01-9107;B;Mogi das Cruzes;Normal;Homem;Casa e estilo de vida;82,7;6;24,81;521,01;03/05/2019;18:14;Dinheiro;496,2;4,761904762;24,81;7,4
100;163-56-7055;C;Guarulhos;Member;Homem;Acessorios de Moda;48,71;1;2,44;51,15;3/26/2019;19:20;Dinheiro;48,71;4,761904762;2,4355;4,1
101;189-98-2939;C;Guarulhos;Normal;Homem;Acessorios de Moda;78,55;9;35,35;742,3;03/01/2019;13:22;Dinheiro;706,95;4,761904762;35,3475;7,2
102;551-21-3069;C;Guarulhos;Normal;Mulher;Acessorios eletronicos;23,07;9;10,38;218,01;02/01/2019;11:27;Dinheiro;207,63;4,761904762;10,3815;4,9
103;212-62-1842;A;Sao Paulo;Normal;Homem;Alimentos e bebidas;58,26;6;17,48;367,04;3/28/2019;16:44;Dinheiro;349,56;4,761904762;17,478;9,9
104;716-39-1409;B;Mogi das Cruzes;Normal;Homem;Saude e beleza;30,35;7;10,62;223,07;3/19/2019;18:19;Dinheiro;212,45;4,761904762;10,6225;8
105;704-48-3927;A;Sao Paulo;Member;Homem;Acessorios eletronicos;88,67;10;44,34;931,04;01/12/2019;14:50;PIX;886,7;4,761904762;44,335;7,3
106;628-34-3388;C;Guarulhos;Normal;Homem;Acessorios de Moda;27,38;6;8,21;172,49;01/05/2019;20:54;Cartao de Credito;164,28;4,761904762;8,214;7,9
107;630-74-5166;A;Sao Paulo;Normal;Homem;Esportes e viagens;62,13;6;18,64;391,42;3/22/2019;20:19;Dinheiro;372,78;4,761904762;18,639;7,4
108;588-01-7461;C;Guarulhos;Normal;Mulher;Alimentos e bebidas;33,98;9;15,29;321,11;3/24/2019;10:43;Dinheiro;305,82;4,761904762;15,291;4,2
109;861-77-0145;C;Guarulhos;Member;Homem;Acessorios eletronicos;81,97;10;40,99;860,69;03/03/2019;14:30;Dinheiro;819,7;4,761904762;40,985;9,2
110;479-26-8945;B;Mogi das Cruzes;Member;Mulher;Esportes e viagens;16,49;2;1,65;34,63;02/05/2019;11:32;PIX;32,98;4,761904762;1,649;4,6
111;210-67-5886;C;Guarulhos;Member;Mulher;Saude e beleza;98,21;3;14,73;309,36;02/05/2019;10:41;Cartao de Credito;294,63;4,761904762;14,7315;7,8
112;227-78-1148;B;Mogi das Cruzes;Normal;Mulher;Acessorios de Moda;72,84;7;25,49;535,37;2/15/2019;12:44;Dinheiro;509,88;4,761904762;25,494;8,4
113;645-44-1170;A;Sao Paulo;Member;Homem;Casa e estilo de vida;58,07;9;26,13;548,76;1/19/2019;20:07;PIX;522,63;4,761904762;26,1315;4,3
114;237-01-6122;C;Guarulhos;Member;Mulher;Casa e estilo de vida;80,79;9;36,36;763,47;02/01/2019;20:31;Cartao de Credito;727,11;4,761904762;36,3555;9,5
115;225-98-1496;C;Guarulhos;Normal;Mulher;Acessorios de Moda;27,02;3;4,05;85,11;03/02/2019;13:01;Cartao de Credito;81,06;4,761904762;4,053;7,1
116;291-32-1427;B;Mogi das Cruzes;Member;Homem;Acessorios de Moda;21,94;5;5,49;115,19;03/05/2019;12:29;PIX;109,7;4,761904762;5,485;5,3
117;659-65-8956;B;Mogi das Cruzes;Member;Homem;Acessorios de Moda;51,36;1;2,57;53,93;1/16/2019;15:26;PIX;51,36;4,761904762;2,568;5,2
118;642-32-2990;A;Sao Paulo;Normal;Mulher;Alimentos e bebidas;10,96;10;5,48;115,08;02/02/2019;20:48;PIX;109,6;4,761904762;5,48;6
119;378-24-2715;B;Mogi das Cruzes;Normal;Homem;Casa e estilo de vida;53,44;2;5,34;112,22;1/20/2019;20:38;PIX;106,88;4,761904762;5,344;4,1
120;638-60-7125;A;Sao Paulo;Normal;Mulher;Acessorios eletronicos;99,56;8;39,82;836,3;2/14/2019;17:03;Cartao de Credito;796,48;4,761904762;39,824;5,2
121;659-36-1684;C;Guarulhos;Member;Homem;Esportes e viagens;57,12;7;19,99;419,83;01/12/2019;12:02;Cartao de Credito;399,84;4,761904762;19,992;6,5
122;219-22-9386;B;Mogi das Cruzes;Member;Homem;Esportes e viagens;99,96;9;44,98;944,62;03/09/2019;17:26;Cartao de Credito;899,64;4,761904762;44,982;4,2
123;336-78-2147;C;Guarulhos;Member;Homem;Casa e estilo de vida;63,91;8;25,56;536,84;3/13/2019;19:52;Cartao de Credito;511,28;4,761904762;25,564;4,6
124;268-27-6179;B;Mogi das Cruzes;Member;Mulher;Acessorios de Moda;56,47;8;22,59;474,35;03/09/2019;14:57;PIX;451,76;4,761904762;22,588;7,3
125;668-90-8900;A;Sao Paulo;Normal;Mulher;Casa e estilo de vida;93,69;7;32,79;688,62;03/10/2019;18:44;Cartao de Credito;655,83;4,761904762;32,7915;4,5
126;870-54-3162;A;Sao Paulo;Normal;Mulher;Esportes e viagens;32,25;5;8,06;169,31;1/27/2019;13:26;Dinheiro;161,25;4,761904762;8,0625;9
127;189-08-9157;C;Guarulhos;Normal;Mulher;Acessorios de Moda;31,73;9;14,28;299,85;01/08/2019;16:17;Cartao de Credito;285,57;4,761904762;14,2785;5,9
128;663-86-9076;C;Guarulhos;Member;Mulher;Alimentos e bebidas;68,54;8;27,42;575,74;01/08/2019;15:57;PIX;548,32;4,761904762;27,416;8,5
129;549-84-7482;B;Mogi das Cruzes;Normal;Mulher;Esportes e viagens;90,28;9;40,63;853,15;02/08/2019;11:15;PIX;812,52;4,761904762;40,626;7,2
130;191-10-6171;B;Mogi das Cruzes;Normal;Mulher;Acessorios de Moda;39,62;7;13,87;291,21;1/25/2019;13:18;Dinheiro;277,34;4,761904762;13,867;7,5
131;802-70-5316;A;Sao Paulo;Member;Mulher;Esportes e viagens;92,13;6;27,64;580,42;03/06/2019;20:34;Dinheiro;552,78;4,761904762;27,639;8,3
132;695-51-0018;B;Mogi das Cruzes;Normal;Mulher;Esportes e viagens;34,84;4;6,97;146,33;02/10/2019;18:36;Dinheiro;139,36;4,761904762;6,968;7,4
133;590-83-4591;B;Mogi das Cruzes;Member;Homem;Acessorios eletronicos;87,45;6;26,24;550,94;2/17/2019;14:40;Cartao de Credito;524,7;4,761904762;26,235;8,8
134;483-71-1164;C;Guarulhos;Normal;Mulher;Saude e beleza;81,3;6;24,39;512,19;03/08/2019;16:43;PIX;487,8;4,761904762;24,39;5,3
135;597-78-7908;C;Guarulhos;Normal;Homem;Acessorios de Moda;90,22;3;13,53;284,19;2/18/2019;19:39;Dinheiro;270,66;4,761904762;13,533;6,2
136;700-81-1757;A;Sao Paulo;Normal;Mulher;Acessorios eletronicos;26,31;5;6,58;138,13;1/18/2019;20:59;Cartao de Credito;131,55;4,761904762;6,5775;8,8
137;354-39-5160;A;Sao Paulo;Member;Mulher;Casa e estilo de vida;34,42;6;10,33;216,85;2/18/2019;15:39;Dinheiro;206,52;4,761904762;10,326;9,8
138;241-72-9525;B;Mogi das Cruzes;Normal;Homem;Esportes e viagens;51,91;10;25,96;545,06;2/16/2019;12:21;Dinheiro;519,1;4,761904762;25,955;8,2
139;575-30-8091;A;Sao Paulo;Normal;Homem;Esportes e viagens;72,5;8;29;609;3/16/2019;19:25;PIX;580;4,761904762;29;9,2
140;731-81-9469;C;Guarulhos;Member;Mulher;Esportes e viagens;89,8;10;44,9;942,9;1/23/2019;13:00;Cartao de Credito;898;4,761904762;44,9;5,4
141;280-17-4359;C;Guarulhos;Member;Homem;Saude e beleza;90,5;10;45,25;950,25;1/25/2019;13:48;Dinheiro;905;4,761904762;45,25;8,1
142;338-65-2210;C;Guarulhos;Member;Mulher;Saude e beleza;68,6;10;34,3;720,3;02/05/2019;19:57;Dinheiro;686;4,761904762;34,3;9,1
143;488-25-4221;C;Guarulhos;Member;Mulher;Alimentos e bebidas;30,41;1;1,52;31,93;2/22/2019;10:36;Cartao de Credito;30,41;4,761904762;1,5205;8,4
144;239-10-7476;A;Sao Paulo;Normal;Mulher;Casa e estilo de vida;77,95;6;23,39;491,09;1/21/2019;16:37;PIX;467,7;4,761904762;23,385;8
145;458-41-1477;C;Guarulhos;Normal;Mulher;Saude e beleza;46,26;6;13,88;291,44;03/08/2019;17:11;Cartao de Credito;277,56;4,761904762;13,878;9,5
146;685-64-1609;A;Sao Paulo;Member;Mulher;Acessorios de Moda;30,14;10;15,07;316,47;02/10/2019;12:28;PIX;301,4;4,761904762;15,07;9,2
147;568-90-5112;C;Guarulhos;Normal;Homem;Saude e beleza;66,14;4;13,23;277,79;3/19/2019;12:46;Cartao de Credito;264,56;4,761904762;13,228;5,6
148;262-47-2794;B;Mogi das Cruzes;Member;Homem;Casa e estilo de vida;71,86;8;28,74;603,62;03/06/2019;15:07;Cartao de Credito;574,88;4,761904762;28,744;6,2
149;238-49-0436;A;Sao Paulo;Normal;Homem;Saude e beleza;32,46;8;12,98;272,66;3/27/2019;13:48;Cartao de Credito;259,68;4,761904762;12,984;4,9
150;608-96-3517;B;Mogi das Cruzes;Member;Mulher;Acessorios de Moda;91,54;4;18,31;384,47;3/23/2019;19:20;Cartao de Credito;366,16;4,761904762;18,308;4,8
151;584-86-7256;C;Guarulhos;Member;Homem;Esportes e viagens;34,56;7;12,1;254,02;03/11/2019;16:07;Cartao de Credito;241,92;4,761904762;12,096;7,3
152;746-94-0204;A;Sao Paulo;Normal;Homem;Acessorios de Moda;83,24;9;37,46;786,62;1/29/2019;11:56;Cartao de Credito;749,16;4,761904762;37,458;7,4
153;214-17-6927;C;Guarulhos;Normal;Mulher;Alimentos e bebidas;16,48;6;4,94;103,82;02/07/2019;18:23;PIX;98,88;4,761904762;4,944;9,9
154;400-89-4171;C;Guarulhos;Normal;Mulher;Esportes e viagens;80,97;8;32,39;680,15;1/28/2019;13:05;Dinheiro;647,76;4,761904762;32,388;9,3
155;782-95-9291;A;Sao Paulo;Member;Homem;Alimentos e bebidas;92,29;5;23,07;484,52;2/20/2019;15:55;Cartao de Credito;461,45;4,761904762;23,0725;9
156;279-74-2924;B;Mogi das Cruzes;Member;Homem;Acessorios eletronicos;72,17;1;3,61;75,78;01/04/2019;19:40;Dinheiro;72,17;4,761904762;3,6085;6,1
157;307-85-2293;B;Mogi das Cruzes;Normal;Homem;Casa e estilo de vida;50,28;5;12,57;263,97;03/07/2019;13:58;PIX;251,4;4,761904762;12,57;9,7
158;743-04-1105;B;Mogi das Cruzes;Member;Homem;Saude e beleza;97,22;9;43,75;918,73;3/30/2019;14:43;PIX;874,98;4,761904762;43,749;6
